SITECODE,NAZEV,SUBJECT,SIZE
CZ0724090,Bílé Karpaty,"tvrdé oligo-mezotrofní vody s bentickou vegetací paronatek (3140), polopøirozené suché trávníky a facie køovin na vápnitıch podloích (Festuco-Brometalia) (6210), polopøirozené suché trávníky a facie køovin na vápnitıch podloích (Festuco-Brometalia), vıznaèná nalezištì vstavaèovitıch - prioritní stanovištì (6210*), bezkolencové louky na vápnitıch, rašelinnıch nebo hlinito-jílovitıch pùdách (Molinion caeruleae) (6410), vlhkomilná vysokobylinná lemová spoleèenstva níin a horského a alpínského stupnì (6430), extenzivní seèené louky níin a podhùøí (Arrhenatherion, Brachypodio-Centaureion nemoralis) (6510), petrifikující prameny s tvorbou pìnovcù (Cratoneurion) (7220), zásaditá slatiništì (7230), buèiny asociace Luzulo-Fagetum (9110), buèiny asociace Asperulo-Fagetum (9130), dubohabøiny asociace Galio-Carpinetum (9170), lesy svazu Tilio-Acerion na svazích, sutích a v roklích (9180), smíšené jasanovo-olšové luní lesy temperátní a boreální Evropy (Alno-Padion, Alnion incanae, Salicion albae) (91E0), panonské dubohabøiny (91G0), eurosibiøské stepní doubravy (91I0), bourovec trnkovı (Eriogaster catax), hlízovec Loeselùv (Liparis loeselii), lesák rumìlkovı (Cucujus cinnaberinus), modrásek bahenní (Phengaris nausithous), modrásek oèkovanı (Phengaris teleius), ohniváèek èernoèárnı (Lycaena dispar), pøástevník kostivalovı (Euplagia quadripunctaria), srpice karbincolistá (Serratula lycopifolia), støevíèník pantoflíèek (Cypripedium calceolus), støevlík hrbolatı (Carabus variolosus), vrkoè bainnı (Vertigo moulinsiana), vrkoè útlı (Vertigo angustior), luásek barvomìnnı (Colias myrmidone)",20043.308
CZ0424129,Bílé stránì u Litomìøic,"polopøirozené suché trávníky a facie køovin na vápnitıch podloích (Festuco-Brometalia) (6210), polopøirozené suché trávníky a facie køovin na vápnitıch podloích (Festuco-Brometalia), vıznaèná nalezištì vstavaèovitıch - prioritní stanovištì (6210*), pionırská vegetace silikátovıch skal (Sedo-Scleranthion, Sedo albi-Veronicion dillenii) (8230), smíšené jasanovo-olšové luní lesy temperátní a boreální Evropy (Alno-Padion, Alnion incanae, Salicion albae) (91E0), pøástevník kostivalovı (Euplagia quadripunctaria), støevíèník pantoflíèek (Cypripedium calceolus)",63.9196
CZ0623035,Bílı kopec u Èejèe,"panonské sprašové stepní trávníky (6250), chrobák jednorohı (Bolbelasmus unicornis), pøástevník kostivalovı (Euplagia quadripunctaria)",72.9589
CZ0613695,Biskupice - kostel,netopır velkı (Myotis myotis),0.0274
CZ0613696,Biskupice - škola,netopır velkı (Myotis myotis),0.0366
CZ0313805,Blanice,"perlorodka øíèní (Margaritifera margaritifera), vranka obecná (Cottus gobio)",8.3322
CZ0623701,Blansko - kostel,netopır velkı (Myotis myotis),0.0704
CZ0314124,Blanskı les,"níinné a horské vodní toky s vegetací svazù Ranunculion fluitantis a Callitricho-Batrachion (3260), panonské skalní trávníky (Stipo-Festucetalia pallentis) (6190), polopøirozené suché trávníky a facie køovin na vápnitıch podloích (Festuco-Brometalia) (6210), polopøirozené suché trávníky a facie køovin na vápnitıch podloích (Festuco-Brometalia), vıznaèná nalezištì vstavaèovitıch - prioritní stanovištì (6210*), bezkolencové louky na vápnitıch, rašelinnıch nebo hlinito-jílovitıch pùdách (Molinion caeruleae) (6410), extenzivní seèené louky níin a podhùøí (Arrhenatherion, Brachypodio-Centaureion nemoralis) (6510), chasmofytická vegetace silikátovıch skalnatıch svahù (8220), buèiny asociace Luzulo-Fagetum (9110), buèiny asociace Asperulo-Fagetum (9130), dubohabøiny asociace Galio-Carpinetum (9170), lesy svazu Tilio-Acerion na svazích, sutích a v roklích (9180), lesostepní bory (91U0), hoøeèek mnohotvarı èeskı (Gentianella praecox subsp. bohemica), mihule potoèní (Lampetra planeri), modrásek bahenní (Phengaris nausithous), modrásek oèkovanı (Phengaris teleius), netopır velkı (Myotis myotis), pøástevník kostivalovı (Euplagia quadripunctaria), rys ostrovid (Lynx lynx), vranka obecná (Cottus gobio), vrkoè útlı (Vertigo angustior)",22211.9424
CZ0313094,Blatná,páchník hnìdı (Osmoderma eremita),44.1593
CZ0323143,Blovice,kuòka lutobøichá (Bombina variegata),7.8177
CZ0423201,Blšanskı chlum,pøástevník kostivalovı (Euplagia quadripunctaria),28.6304
CZ0623324,Bobrùvka,"níinné a horské vodní toky s vegetací svazù Ranunculion fluitantis a Callitricho-Batrachion (3260), vranka obecná (Cottus gobio)",17.5036
CZ0533308,Bohdaneèskı rybník ,"kuòka ohnivá (Bombina bombina), lesák rumìlkovı (Cucujus cinnaberinus), modrásek bahenní (Phengaris nausithous), váka jasnoskvrnná (Leucorrhinia pectoralis)",247.7676
CZ0213777,Bohostice,modrásek bahenní (Phengaris nausithous),5.5192
CZ0314123,Boletice,"pøirozené eutrofní vodní nádre s vegetací typu Magnopotamion nebo Hydrocharition (3150), druhovì bohaté smilkové louky na silikátovıch podloích v horskıch oblastech (a v kontinentální Evropì v podhorskıch oblastech) (6230), bezkolencové louky na vápnitıch, rašelinnıch nebo hlinito-jílovitıch pùdách (Molinion caeruleae) (6410), vlhkomilná vysokobylinná lemová spoleèenstva níin a horského a alpínského stupnì (6430), extenzivní seèené louky níin a podhùøí (Arrhenatherion, Brachypodio-Centaureion nemoralis) (6510), degradovaná vrchovištì (ještì schopná pøirozené obnovy) (7120), pøechodová rašeliništì a tøasovištì (7140), chasmofytická vegetace silikátovıch skalnatıch svahù (8220), buèiny asociace Luzulo-Fagetum (9110), buèiny asociace Asperulo-Fagetum (9130), lesy svazu Tilio-Acerion na svazích, sutích a v roklích (9180), smíšené jasanovo-olšové luní lesy temperátní a boreální Evropy (Alno-Padion, Alnion incanae, Salicion albae) (91E0), modrásek bahenní (Phengaris nausithous), modrásek oèkovanı (Phengaris teleius), perlorodka øíèní (Margaritifera margaritifera), popelivka sibiøská (Ligularia sibirica), rys ostrovid (Lynx lynx), støevlík Ménétriésùv (Carabus menetriesi pacholei), vranka obecná (Cottus gobio)",20348.7324
CZ0323144,Bonìtice,èolek velkı (Triturus cristatus),0.4362
CZ0413174,Borecké rybníky,èolek velkı (Triturus cristatus),4.2023
CZ0314021,Borkovická blata,"pøirozená dystrofní jezera a tùnì (3160), bezkolencové louky na vápnitıch, rašelinnıch nebo hlinito-jílovitıch pùdách (Molinion caeruleae) (6410), pøechodová rašeliništì a tøasovištì (7140), rašelinnı les (91D0), støedoevropské lišejníkové bory (91T0), váka jasnoskvrnná (Leucorrhinia pectoralis)",677.124
CZ0623702,Borotín - zámek,netopır velkı (Myotis myotis),0.1174
CZ0533685,Borová u Polièky,vrápenec malı (Rhinolophus hipposideros),0.0378
CZ0533686,Bouda u Tìchonína,"netopır èernı (Barbastella barbastellus), netopır velkı (Myotis myotis)",0.0325
CZ0313115,Boukal,kuòka ohnivá (Bombina bombina),8.1015
CZ0533296,Boušovka,"tvrdé oligo-mezotrofní vody s bentickou vegetací paronatek (3140), váka jasnoskvrnná (Leucorrhinia pectoralis)",1.1297
CZ0623798,Boické rybníky,"smíšené jasanovo-olšové luní lesy temperátní a boreální Evropy (Alno-Padion, Alnion incanae, Salicion albae) (91E0), vrkoè bainnı (Vertigo moulinsiana)",57.4479
CZ0623772,Boickı mokøad,kuòka ohnivá (Bombina bombina),8.8302
CZ0323145,Bradava,rak kamenáè (Austropotamobius torrentium),25.6249
CZ0713722,Branná - hrad,vrápenec malı (Rhinolophus hipposideros),0.6755
CZ0623003,Bøeclav - kaple u nádraí,netopır velkı (Myotis myotis),0.0445
CZ0613004,Bøevnickı potok,vranka obecná (Cottus gobio),3.8314
CZ0423202,Bøezina,èolek velkı (Triturus cristatus),59.7703
CZ0520178,Bøezinka,"extenzivní seèené louky níin a podhùøí (Arrhenatherion, Brachypodio-Centaureion nemoralis) (6510), buèiny asociace Luzulo-Fagetum (9110), buèiny asociace Asperulo-Fagetum (9130), smíšené jasanovo-olšové luní lesy temperátní a boreální Evropy (Alno-Padion, Alnion incanae, Salicion albae) (91E0), èolek velkı (Triturus cristatus)",162.6099
CZ0213013,Bøeznice - Oblouèek,kuòka ohnivá (Bombina bombina),17.0636
CZ0723401,Bøeznice u Zlína,vrkoè útlı (Vertigo angustior),1.0044
CZ0623004,Bøeanka a Bøeanskı rybník,"smíšené jasanovo-olšové luní lesy temperátní a boreální Evropy (Alno-Padion, Alnion incanae, Salicion albae) (91E0), vrkoè bainnı (Vertigo moulinsiana)",20.0124
CZ0213779,Bøeanské údolí,pøástevník kostivalovı (Euplagia quadripunctaria),496.5257
CZ0623775,Buèovice - zámek,netopır velkı (Myotis myotis),0.3213
CZ0533297,Buky u Vysokého Chvojna,páchník hnìdı (Osmoderma eremita),29.5266
CZ0523264,Bystøice,velevrub tupı (Unio crassus),27.8327
CZ0413177,Bystøina - Luní potok,"pøirozená dystrofní jezera a tùnì (3160), vlhkomilná vysokobylinná lemová spoleèenstva níin a horského a alpínského stupnì (6430), hnìdásek chrastavcovı (Euphydryas aurinia), mihule potoèní (Lampetra planeri), perlorodka øíèní (Margaritifera margaritifera)",1129.5805
CZ0524048,Byšièky,"zásaditá slatiništì (7230), hlízovec Loeselùv (Liparis loeselii), kuòka ohnivá (Bombina bombina)",17.5163
CZ0313097,Cepská pískovna a okolí,èolek velkı (Triturus cristatus),141.1588
CZ0513238,Cihelenské rybníky,kuòka ohnivá (Bombina bombina),8.3784
CZ0813438,Cihelna Kunín,èolek velkı (Triturus cristatus),26.883
CZ0623345,Citonice - rybník Skalka,èolek dravı (Triturus carnifex),5.2912
CZ0623354,Crhov - Rozsíèka,pøástevník kostivalovı (Euplagia quadripunctaria),27.4885
CZ0313096,Èábuze,modrásek bahenní (Phengaris nausithous),38.5459
CZ0713723,Èechy pod Kosíøem,vrápenec malı (Rhinolophus hipposideros),0.3931
CZ0623359,Èekál,kuòka ohnivá (Bombina bombina),3.2136
CZ0813770,Èermná - dùl Potlachovı,netopır èernı (Barbastella barbastellus),0.0243
CZ0713724,Èerná Voda - kostel,vrápenec malı (Rhinolophus hipposideros),0.0395
CZ0713725,Èerná Voda - kulturní dùm,netopır brvitı (Myotis emarginatus),0.078
CZ0423203,Èernovice,roháè obecnı (Lucanus cervus),13.6937
CZ0813760,Èernı dùl,netopır èernı (Barbastella barbastellus),3.7434
CZ0214004,Èernı Orel,"otevøené trávníky kontinentálních dun s palièkovcem (Corynephorus) a psineèkem (Agrostis) (2330), extenzivní seèené louky níin a podhùøí (Arrhenatherion, Brachypodio-Centaureion nemoralis) (6510), dubohabøiny asociace Galio-Carpinetum (9170), staré acidofilní doubravy s dubem letním (Quercus robur) na písèitıch pláních (9190), modrásek bahenní (Phengaris nausithous)",226.7132
CZ0624072,Èertoryje,"tvrdé oligo-mezotrofní vody s bentickou vegetací paronatek (3140), polopøirozené suché trávníky a facie køovin na vápnitıch podloích (Festuco-Brometalia) (6210), polopøirozené suché trávníky a facie køovin na vápnitıch podloích (Festuco-Brometalia), vıznaèná nalezištì vstavaèovitıch - prioritní stanovištì (6210*), bezkolencové louky na vápnitıch, rašelinnıch nebo hlinito-jílovitıch pùdách (Molinion caeruleae) (6410), vlhkomilná vysokobylinná lemová spoleèenstva níin a horského a alpínského stupnì (6430), extenzivní seèené louky níin a podhùøí (Arrhenatherion, Brachypodio-Centaureion nemoralis) (6510), petrifikující prameny s tvorbou pìnovcù (Cratoneurion) (7220), buèiny asociace Asperulo-Fagetum (9130), dubohabøiny asociace Galio-Carpinetum (9170), smíšené jasanovo-olšové luní lesy temperátní a boreální Evropy (Alno-Padion, Alnion incanae, Salicion albae) (91E0), panonské dubohabøiny (91G0), eurosibiøské stepní doubravy (91I0), bourovec trnkovı (Eriogaster catax), meèík bahenní (Gladiolus palustris), ohniváèek èernoèárnı (Lycaena dispar), pøástevník kostivalovı (Euplagia quadripunctaria), roháè obecnı (Lucanus cervus), srpice karbincolistá (Serratula lycopifolia), støevíèník pantoflíèek (Cypripedium calceolus), tesaøík obrovskı (Cerambyx cerdo), luásek barvomìnnı (Colias myrmidone)",4855.0568
CZ0523265,Èervená Tøemešná - rybník,kuòka ohnivá (Bombina bombina),9.4239
CZ0513237,Èeská Lípa - mokøad v nivì Šporky,kuòka ohnivá (Bombina bombina),20.0702
CZ0424031,Èeské Švıcarsko,"níinné a horské vodní toky s vegetací svazù Ranunculion fluitantis a Callitricho-Batrachion (3260), evropská suchá vøesovištì (4030), extenzivní seèené louky níin a podhùøí (Arrhenatherion, Brachypodio-Centaureion nemoralis) (6510), chasmofytická vegetace silikátovıch skalnatıch svahù (8220), jeskynì nepøístupné veøejnosti (8310), buèiny asociace Luzulo-Fagetum (9110), buèiny asociace Asperulo-Fagetum (9130), lesy svazu Tilio-Acerion na svazích, sutích a v roklích (9180), acidofilní smrèiny (Vaccinio-Piceetea) (9410), losos obecnı (Salmo salar), mihule potoèní (Lampetra planeri), vláskatec tajemnı (Trichomanes speciosum), vydra øíèní (Lutra lutra)",10626.9065
CZ0513658,Èeskı Dub - základní umìlecká škola,netopır velkı (Myotis myotis),0.0545
CZ0323147,Darmyšl - pískovna,èolek velkı (Triturus cristatus),0.4901
CZ0614053,Dáøská rašeliništì,"tvrdé oligo-mezotrofní vody s bentickou vegetací paronatek (3140), bezkolencové louky na vápnitıch, rašelinnıch nebo hlinito-jílovitıch pùdách (Molinion caeruleae) (6410), pøechodová rašeliništì a tøasovištì (7140), rašelinnı les (91D0), acidofilní smrèiny (Vaccinio-Piceetea) (9410), váka jasnoskvrnná (Leucorrhinia pectoralis)",390.4373
CZ0623703,Dìdice - kostel,netopır velkı (Myotis myotis),0.06
CZ0523007,Dìdina u Dobrušky,"mihule potoèní (Lampetra planeri), vranka obecná (Cottus gobio)",8.0335
CZ0813439,Dìhylovskı potok - Štìpán,"níinné a horské vodní toky s vegetací svazù Ranunculion fluitantis a Callitricho-Batrachion (3260), kuòka ohnivá (Bombina bombina), piskoø pruhovanı (Misgurnus fossilis), váka jasnoskvrnná (Leucorrhinia pectoralis)",84.9019
CZ0624104,Dìvín,"panonské skalní trávníky (Stipo-Festucetalia pallentis) (6190), polopøirozené suché trávníky a facie køovin na vápnitıch podloích (Festuco-Brometalia) (6210), subpanonské stepní trávníky (6240), vápnité sutì pahorkatin a horského stupnì (8160), chasmofytická vegetace vápnitıch skalnatıch svahù (8210), lesy svazu Tilio-Acerion na svazích, sutích a v roklích (9180), panonské dubohabøiny (91G0), panonské šípákové doubravy (91H0), hvozdík Lumnitzerùv (Dianthus lumnitzeri), kosatec skalní píseènı (Iris humilis subsp. arenaria), netopır èernı (Barbastella barbastellus), netopır velkouchı (Myotis bechsteinii), pøástevník kostivalovı (Euplagia quadripunctaria), roháè obecnı (Lucanus cervus), støevlík panonskı (Carabus hungaricus)",406.3195
CZ0713008,Deylùv ostrùvek,"èolek velkı (Triturus cristatus), kuòka ohnivá (Bombina bombina)",1.0075
CZ0613809,Dívka,kuòka ohnivá (Bombina bombina),36.125
CZ0623704,Dlouhá Lhota,vrápenec malı (Rhinolophus hipposideros),0.0373
CZ0423206,Dobrná,èolek velkı (Triturus cristatus),7.7513
CZ0323826,Dobøany,kuòka lutobøichá (Bombina variegata),28.8447
CZ0424139,Dobøíòskı háj,"smíšené luní lesy s dubem letním (Quercus robur), jilmem vazem (Ulmus laevis), j. habrolistım (U. minor), jasanem ztepilım (Fraxinus excelsior) nebo j. úzkolistım (F. angustifolia) podél velkıch øek atlantské a støedoevropské provincie (Ulmenion minoris) (91F0), lesák rumìlkovı (Cucujus cinnaberinus)",20.9348
CZ0213015,Dobøíšskı park,páchník hnìdı (Osmoderma eremita),38.075
CZ0213602,Dobøíšskı zámek,netopır velkı (Myotis myotis),0.4848
CZ0513659,Doksy - zámek,netopır velkı (Myotis myotis),0.5674
CZ0323636,Dolany - kostel,netopır velkı (Myotis myotis),0.053
CZ0713394,Dolní a Prostøední Svrèov,kuòka ohnivá (Bombina bombina),3.6923
CZ0534052,Dolní Chrudimka,"níinné a horské vodní toky s vegetací svazù Ranunculion fluitantis a Callitricho-Batrachion (3260), klínatka rohatá (Ophiogomphus cecilia)",65.5817
CZ0813442,Dolní Marklovice,kuòka ohnivá (Bombina bombina),39.6948
CZ0513505,Dolní Plouènice,"kuòka ohnivá (Bombina bombina), losos obecnı (Salmo salar), vydra øíèní (Lutra lutra)",615.9198
CZ0213068,Dolní Sázava,"hoøavka duhová (Rhodeus sericeus amarus), velevrub tupı (Unio crassus)",398.0326
CZ0214010,Dománovickı les,"hnìdásek osikovı (Euphydryas maturna), roháè obecnı (Lucanus cervus), støevíèník pantoflíèek (Cypripedium calceolus)",354.8923
CZ0423210,Doubravka,páchník hnìdı (Osmoderma eremita),42.7413
CZ0623697,Doubravník - kostel,netopır velkı (Myotis myotis),0.121
CZ0424125,Doupovské hory,"níinné a horské vodní toky s vegetací svazù Ranunculion fluitantis a Callitricho-Batrachion (3260), formace jalovce obecného (Juniperus communis) na vøesovištích nebo vápnitıch trávnících (5130), polopøirozené suché trávníky a facie køovin na vápnitıch podloích (Festuco-Brometalia) (6210), vlhkomilná vysokobylinná lemová spoleèenstva níin a horského a alpínského stupnì (6430), extenzivní seèené louky níin a podhùøí (Arrhenatherion, Brachypodio-Centaureion nemoralis) (6510), buèiny asociace Asperulo-Fagetum (9130), lesy svazu Tilio-Acerion na svazích, sutích a v roklích (9180), smíšené jasanovo-olšové luní lesy temperátní a boreální Evropy (Alno-Padion, Alnion incanae, Salicion albae) (91E0), èolek velkı (Triturus cristatus), hnìdásek chrastavcovı (Euphydryas aurinia), koniklec otevøenı (Pulsatilla patens), kuòka ohnivá (Bombina bombina), losos obecnı (Salmo salar), netopır èernı (Barbastella barbastellus), netopır velkı (Myotis myotis)",12584.7069
CZ0213017,Draská Koupì,kuòka ohnivá (Bombina bombina),8.3782
CZ0623799,Drnholeckı luh,"smíšené luní lesy s dubem letním (Quercus robur), jilmem vazem (Ulmus laevis), j. habrolistım (U. minor), jasanem ztepilım (Fraxinus excelsior) nebo j. úzkolistım (F. angustifolia) podél velkıch øek atlantské a støedoevropské provincie (Ulmenion minoris) (91F0), kuòka ohnivá (Bombina bombina), lesák rumìlkovı (Cucujus cinnaberinus)",149.0862
CZ0423651,Drovice - rodinnı dùm,netopır velkı (Myotis myotis),0.0385
CZ0523268,Dubno - Èeská Skalice,"bezkolencové louky na vápnitıch, rašelinnıch nebo hlinito-jílovitıch pùdách (Molinion caeruleae) (6410), dubohabøiny asociace Galio-Carpinetum (9170), smíšené jasanovo-olšové luní lesy temperátní a boreální Evropy (Alno-Padion, Alnion incanae, Salicion albae) (91E0), kuòka ohnivá (Bombina bombina)",66.0716
CZ0623778,Emin zámeèek,netopır velkı (Myotis myotis),0.1186
CZ0213783,Felbabka,kuòka lutobøichá (Bombina variegata),11.3754
CZ0613319,Fickù rybník,èolek velkı (Triturus cristatus),1.0971
CZ0323825,Hadovka,vranka obecná (Cottus gobio),3.3035
CZ0423211,Háj u Oseka,kuòka ohnivá (Bombina bombina),12.9715
CZ0524050,Halín,"pøirozené eutrofní vodní nádre s vegetací typu Magnopotamion nebo Hydrocharition (3150), dubohabøiny asociace Galio-Carpinetum (9170), kuòka ohnivá (Bombina bombina), støevíèník pantoflíèek (Cypripedium calceolus)",158.6678
CZ0713726,Hanušovice - kostel,netopır velkı (Myotis myotis),0.0262
CZ0813444,Heømanickı rybník,èolek velkı (Triturus cristatus),477.222
CZ0533300,Heømanùv Mìstec,páchník hnìdı (Osmoderma eremita),62.5764
CZ0623010,Hevlínské jezero,kuòka ohnivá (Bombina bombina),9.3769
CZ0313098,Hliníø - Ponìdráka,"pøirozená dystrofní jezera a tùnì (3160), pøechodová rašeliništì a tøasovištì (7140), èolek velkı (Triturus cristatus)",164.3175
CZ0313099,Hlubocké hráze,"páchník hnìdı (Osmoderma eremita), roháè obecnı (Lucanus cervus), tesaøík obrovskı (Cerambyx cerdo)",67.7904
CZ0314126,Hlubocké obory,"dvouhrotec zelenı (Dicranum viride), kovaøík fialovı (Limoniscus violaceus), páchník hnìdı (Osmoderma eremita), roháè obecnı (Lucanus cervus), rıhovec pralesní (Rhysodes sulcatus)",3260.6464
CZ0523002,Hlubokı Kovaè,kuòka ohnivá (Bombina bombina),8.7575
CZ0533310,Hlubokı rybník,páchník hnìdı (Osmoderma eremita),7.7004
CZ0623807,Hobrtenky,roháè obecnı (Lucanus cervus),131.1647
CZ0624070,Hodonínská doubrava,"otevøené trávníky kontinentálních dun s palièkovcem (Corynephorus) a psineèkem (Agrostis) (2330), panonské písèité stepi (6260), smíšené jasanovo-olšové luní lesy temperátní a boreální Evropy (Alno-Padion, Alnion incanae, Salicion albae) (91E0), panonské dubohabøiny (91G0), eurosibiøské stepní doubravy (91I0), kuòka ohnivá (Bombina bombina), meèík bahenní (Gladiolus palustris), netopır èernı (Barbastella barbastellus), netopır velkouchı (Myotis bechsteinii), pøástevník kostivalovı (Euplagia quadripunctaria), roháè obecnı (Lucanus cervus)",3029.0835
CZ0213784,Horní a Dolní obdìnickı rybník,kuòka ohnivá (Bombina bombina),31.6206
CZ0423507,Horní Kamenice,"níinné a horské vodní toky s vegetací svazù Ranunculion fluitantis a Callitricho-Batrachion (3260), vlhkomilná vysokobylinná lemová spoleèenstva níin a horského a alpínského stupnì (6430), losos obecnı (Salmo salar), vydra øíèní (Lutra lutra)",185.6252
CZ0413180,Horní Kramolín - Ovesné,hnìdásek chrastavcovı (Euphydryas aurinia),18.1443
CZ0314022,Horní Malše,"tvrdé oligo-mezotrofní vody s bentickou vegetací paronatek (3140), níinné a horské vodní toky s vegetací svazù Ranunculion fluitantis a Callitricho-Batrachion (3260), buèiny asociace Luzulo-Fagetum (9110), buèiny asociace Asperulo-Fagetum (9130), smíšené jasanovo-olšové luní lesy temperátní a boreální Evropy (Alno-Padion, Alnion incanae, Salicion albae) (91E0), perlorodka øíèní (Margaritifera margaritifera), vydra øíèní (Lutra lutra)",1890.8338
CZ0623358,Horní Mouøínovskı rybník,kuòka ohnivá (Bombina bombina),4.5459
CZ0813810,Horní Odra,vranka obecná (Cottus gobio),17.2275
