"EVL_SITECODE","SITECODE","NAZEV","DRUH","PRESENCE","POP","HABLOS","PRED","TRANSP","REPRO","WATER","DRY","VEG","OVERALL","SUFFICIENT"
"amp70","amp70/bq","Stříbro - V cesta - tůň 30 m J od křižovatky na S velká","Bombina variegata",1,NA,1,1,0,1,1,1,1,NA,NA
"amp70","amp70/br","Stříbro - V cesta - tůň 45 m J od křižovatky na S velká","Bombina variegata",1,NA,1,1,0,1,1,1,1,NA,NA
"amp70","amp70/bv","Stříbro - u borovice - louže S","Bombina variegata",1,NA,1,1,NA,1,1,1,0,NA,NA
"amp70","amp70/bw","Stříbro - u borovice - sever","Bombina variegata",1,NA,1,1,NA,1,1,1,0,NA,NA
"amp70","amp70/bx","Stříbro - u borovice - jih","Bombina variegata",1,NA,1,1,0,1,1,1,0,NA,NA
"amp70","amp70/by","Stříbro - S cesta - tůň na JV od V křižovatky","Bombina variegata",1,NA,1,1,NA,1,1,1,1,NA,NA
"amp70","amp70/ca","Stříbro - tůně na JV - 5 (S)","Bombina variegata",1,NA,1,1,0,1,1,1,0,NA,NA
"amp70","amp70/cb","Stříbro - údolnice JZ od asfaltky - Z - Z","Bombina variegata",1,NA,1,1,NA,1,1,1,1,NA,NA
"amp70","amp70/cc","Stříbro - údolnice JZ od asfaltky - Z - S","Bombina variegata",1,NA,1,1,0,1,1,1,0,NA,NA
"amp70","amp70/cd","Stříbro - údolnice JZ od asfaltky - Z - J","Bombina variegata",1,NA,1,1,NA,1,1,1,1,NA,NA
"amp70","amp70/ce","Stříbro - údolnice JZ od asfaltky - J","Bombina variegata",1,NA,1,1,NA,1,1,1,1,NA,NA
"amp70","amp70/cf","Stříblo - louže J od borovice","Bombina variegata",1,NA,1,1,NA,1,1,1,0,NA,NA
"amp70","amp70/cg","
Stříbro - údolnice JZ od asfaltky - SZ od L","Bombina variegata",1,NA,1,1,NA,1,1,1,0,NA,NA
"amp70","amp70/ci","Stříbro - údolnice nad asfaltkou","Bombina variegata",1,NA,1,1,NA,1,1,1,0,NA,NA
"amp70","amp70/cj","Stříbro - údolnice JZ od asfaltky - V od 1. valu - V","Bombina variegata",1,NA,1,1,NA,1,1,1,0,NA,NA
"amp70","amp70/ck","Stříbro - údolnice JZ od asfaltky - V od 1. valu - Z","Bombina variegata",1,NA,1,1,NA,1,1,1,0,NA,NA
"amp70","amp70/cl","Stříbro - údolnice JZ od asfaltky - V od 1. valu - J","Bombina variegata",1,NA,1,1,NA,1,1,1,0,NA,NA
"amp70","amp70/cm","Stříbro - údolnice JZ od asfaltky - mezi valy","Bombina variegata",1,NA,1,1,0,1,1,1,1,NA,NA
"amp70","amp70/cn","Stříbro - S cesta - V křižovatka - JZ","Bombina variegata",1,NA,1,1,NA,1,1,1,0,NA,NA
"amp70","amp70/d","Stříbro - tůně na JV - Z","Bombina variegata",1,NA,1,1,NA,1,1,1,0,NA,NA
"amp70","amp70/h","Stříbro - cesta pod skládkou - 60 m V od údolnice (u třešně)","Bombina variegata",1,NA,1,1,NA,1,1,1,0,NA,NA
"amp70","amp70/ch","Stříbro - cesta pod skládkou - Z křižovatka","Bombina variegata",1,NA,1,1,0,1,1,1,0,NA,NA
"amp70","amp70/i","Stříbro - cesta pod skládkou - 50 m V od údolnice (u borovice)","Bombina variegata",1,NA,1,1,NA,1,1,1,0,NA,NA
"amp70","amp70/j","Stříbro - cesta pod skládkou - 30 m V od údolnice (Z od cesty)","Bombina variegata",1,NA,1,1,NA,1,1,1,0,NA,NA
"amp70","amp70/k","Stříbro - cesta pod skládkou - údolnice – Z","Bombina variegata",1,NA,1,1,NA,1,1,1,0,NA,NA
"amp70","amp70/l","Stříbro - cesta pod skládkou - 10 m Z od údolnice","Bombina variegata",1,NA,1,1,NA,1,1,1,0,NA,NA
"amp70","amp70/n","Stříbro - tůň 40 m J od tůně v údolnici na bývalé cestě","Bombina variegata",1,NA,1,1,NA,1,1,1,0,NA,NA
"amp70","amp70/p","Stříbro - údolnice JZ od asfaltky - velká pod svahem","Bombina variegata",1,NA,1,1,NA,1,1,1,0,NA,NA
"amp70","amp70/r","Stříbro - údolnice JZ od asfaltky - louže na SZ","Bombina variegata",1,NA,1,1,NA,1,1,1,1,NA,NA
"amp70","amp70/s","Stříbro - údolnice JZ od asfaltky - uprostřed střed","Bombina variegata",1,NA,1,1,0,1,1,1,0,NA,NA
"amp70","amp70/t","Stříbro - údolnice JZ od asfaltky - uprostřed jih","Bombina variegata",1,NA,1,1,NA,1,1,1,1,NA,NA
"amp70","amp70/u","Stříbro - údolnice JZ od asfaltky - Z - V","Bombina variegata",1,NA,1,1,NA,1,1,1,0,NA,NA
"amp70","amp70/v","Stříbro - zákop 1","Bombina variegata",1,NA,1,1,NA,1,1,1,0,NA,NA
"amp70","amp70/x","Stříbro - zákop 2","Bombina variegata",1,NA,1,1,NA,1,1,1,0,NA,NA
"amp70","amp70/z","Stříbro - zákop 4","Bombina variegata",0,NA,1,1,0,1,1,1,0,0,0
"amp74","amp74","Horní Lukavice","Bombina variegata",0,NA,1,1,NA,1,0,1,NA,0,0
"CZ0213783","CZ0213783","Felbabka","Bombina variegata",1,1,1,1,1,1,1,1,1,1,1
"CZ0713385","CZ0713385","mokřad Písečná, asi totožné s Psci","Bombina variegata",0,0,1,1,NA,1,1,1,0,0,0
"CZ0724089","CZ0724089_1","Ptáčnice - u jezera","Bombina variegata",1,NA,1,1,0,1,1,1,1,NA,NA
"CZ0724089","CZ0724089_12","","Bombina variegata",1,1,0,1,0,1,1,1,0,0.5,0
"CZ0724089","CZ0724089_13","","Bombina variegata",1,1,1,1,NA,1,1,1,NA,NA,NA
"CZ0724089","CZ0724089_16","","Bombina variegata",1,NA,1,1,0,1,1,1,0,NA,NA
"CZ0724089","CZ0724089_25","Zápulčínsko","Bombina variegata",1,NA,1,0,0,1,1,1,0,NA,NA
"CZ0724089","CZ0724089_27","Karolinka-pod Stanovnicí","Bombina variegata",1,1,1,1,1,1,1,1,1,1,1
"CZ0724089","CZ0724089_28","Malá Hanzlůvka","Bombina variegata",1,1,1,1,NA,1,1,1,1,NA,NA
"CZ0724089","CZ0724089_30","Kněhyňský lom","Bombina variegata",1,NA,1,1,NA,1,1,1,0,NA,NA
"CZ0724089","CZ0724089_7","Dušná u červených","Bombina variegata",1,NA,1,1,0,1,1,1,1,NA,NA
"CZ0724089","CZ0724089_8","Tůně Babská","Bombina variegata",0,NA,1,1,0,1,1,1,0,0,0
"CZ0724089","CZ0724089_9","Slovačica","Bombina variegata",1,NA,1,1,0,1,1,1,1,NA,NA
"amp101","amp101","Nebeský rybníček v osadě Veselí","Triturus cristatus",1,0,1,1,NA,1,1,1,1,NA,NA
"amp102","amp102","Kateřina mokřad","Triturus cristatus",0,0,1,1,NA,1,1,1,1,0,0
"amp106","amp106","Meandry Chřibské Kamenice","Triturus cristatus",1,1,1,1,0,1,1,1,0,0.5,0
"amp107","amp107","Meandry Chřibské Kamenice","Triturus cristatus",1,0,1,1,0,1,1,1,1,0.5,0
"amp115","amp115","Polní domky - soustava","Triturus cristatus",1,1,1,1,1,1,1,1,1,1,1
"amp116","amp116","Zicht","Triturus cristatus",1,1,1,1,0,1,1,1,NA,NA,NA
"amp128","amp128","Cihelna Pulice","Triturus cristatus",1,1,0,1,NA,1,1,1,1,NA,NA
"amp129","amp129","Rýzmburk","Triturus cristatus",1,1,1,1,NA,1,1,1,NA,NA,NA
"amp138","amp138","Na Plachtě - Starý mokřad","Triturus cristatus",1,1,1,1,NA,1,1,1,NA,NA,NA
"amp138","amp138a","5861, Hradec Králové, Plachta - Starý mokřad","Triturus cristatus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"amp138","amp138b","5861, Hradec Králové, Plachta - rybník Jáma","Triturus cristatus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"amp138","amp138c","5861, Hradec Králové, Plachta - Nový mokřad","Triturus cristatus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"amp14","amp14","cihadla","Triturus cristatus",0,0,1,0,NA,1,1,1,1,0,0
"amp15","amp15","EVL Javůrek","Triturus cristatus",1,0,1,1,1,1,1,1,1,0.5,0
"amp159","amp159","Častotice lom","Triturus cristatus",1,0,1,1,1,1,1,1,0,0.5,0
"amp16","amp16","Libický luh","Triturus cristatus",1,NA,1,1,NA,1,1,1,1,NA,NA
"amp166","amp166","Rybníček u Dolního Dvora","Triturus cristatus",1,NA,1,1,NA,1,1,1,NA,NA,NA
"amp195","amp195","Horní Kounice","Triturus cristatus",1,1,1,1,0,1,1,1,1,0.5,0
"amp202","amp202","Černovírský les - pískovny","Triturus cristatus",0,0,1,0,NA,1,1,1,NA,0,0
"amp205","amp205","PR Kačení louka","Triturus cristatus",1,0,1,1,NA,1,1,1,NA,NA,NA
"amp210","amp210","Mikulovice - tůně u lesa","Triturus cristatus",1,0,1,1,NA,1,1,1,NA,NA,NA
"amp215","amp215","Rybník Neratov","Triturus cristatus",1,1,1,1,1,1,1,1,1,1,1
"amp216","amp216","Mokřad u Slováckých strojíren","Triturus cristatus",1,1,1,1,NA,1,1,1,NA,NA,NA
"amp227","amp227","EVL Mokřad Pumpák","Triturus cristatus",0,1,0,1,NA,1,1,1,0,0,0
"amp228","amp228","Tůň Rysová","Triturus cristatus",1,1,1,1,0,1,1,1,1,0.5,0
"amp232","amp232","Mojena","Triturus cristatus",0,1,1,1,1,1,1,1,1,0,0
"amp234","amp234","Vápenka","Triturus cristatus",1,1,0,1,1,1,1,1,1,0.5,0
"amp245","amp245","Staré hliniště","Triturus cristatus",1,0,1,1,1,1,1,1,0,0.5,0
"amp253","amp253","Štramberk","Triturus cristatus",1,1,1,1,0,1,1,1,1,0.5,0
"amp254","amp254","Mokřad u Rondelu","Triturus cristatus",1,NA,1,1,1,1,1,1,1,NA,NA
"amp268","amp268","Sucha Rudna","Triturus cristatus",1,1,1,1,NA,1,1,1,NA,NA,NA
"amp29","amp29","Pískovna u Nového Knína","Triturus cristatus",1,NA,0,1,1,1,1,1,0,NA,NA
"amp291","amp291","Bohuslavice - tůně","Triturus cristatus",1,NA,1,1,NA,1,1,1,0,NA,NA
"amp292","amp292","Bohuslavice - koupaliště","Triturus cristatus",1,NA,1,1,NA,1,1,1,0,NA,NA
"amp296","amp296","Niva Odry - tůň Pastvina","Triturus cristatus",0,0,1,0,0,1,1,1,1,0,0
"amp297","amp297","Niva Odry - tůň U cesty","Triturus cristatus",0,0,1,1,0,1,1,1,0,0,0
"amp298","amp298","Niva Odry - tůně V trojúhelníku","Triturus cristatus",1,NA,1,0,0,1,1,1,0,NA,NA
"amp299","amp299","Niva Odry - tůň Pod Mládežnickým revírem","Triturus cristatus",0,0,1,1,0,1,1,1,0,0,0
"amp30","amp30","Sudoměřice","Triturus cristatus",1,NA,1,0,1,1,1,1,0,NA,NA
"amp303","amp303","Cihelna Kunín - pískovna, úzká","Triturus cristatus",0,0,1,1,0,1,1,1,1,0,0
"amp304","amp304","Cihelna Kunín - Hliniště, Štěpánova tůň","Triturus cristatus",1,0,1,1,1,1,1,1,1,0.5,0
"amp305","amp305","Cihelna Kunín - hliniště, Lenčina tůň","Triturus cristatus",1,NA,1,1,0,1,1,1,1,NA,NA
"amp306","amp306","Cihelna Kunín - pískovna, kulatá","Triturus cristatus",0,0,1,1,NA,1,1,1,1,0,0
"amp314","amp314","Rožmitál pod Třemšínem1","Triturus cristatus",0,0,1,1,1,1,1,1,1,0,0
"amp315","amp315","Rožmitál pod Třemšínem1","Triturus cristatus",1,0,1,0,1,1,1,1,1,0.5,0
"amp316","amp316","Rožmitál pid Třemšínem3","Triturus cristatus",0,0,0,1,1,1,1,1,0,0,0
"amp322","amp322","","Triturus cristatus",0,0,1,1,1,1,1,1,0,0,0
"amp323","amp323","","Triturus cristatus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"amp332","amp332","Polní domky - rybnik","Triturus cristatus",0,0,1,1,0,1,1,1,0,0,0
"amp334","amp334","Na Plachtě - Nový mokřad","Triturus cristatus",1,1,1,1,NA,1,1,1,NA,NA,NA
"amp335","amp335","Na Plachtě - rybník Jáma","Triturus cristatus",1,1,1,1,NA,1,1,1,NA,NA,NA
"amp336","amp336","Cikánská tůň","Triturus cristatus",1,1,1,1,NA,1,1,1,0,NA,NA
"amp337","amp337","Ohrozim - Horka","Triturus cristatus",1,NA,1,1,NA,1,1,1,NA,NA,NA
"amp41","amp41","Koupaliště u Mnichova","Triturus cristatus",1,1,1,1,NA,1,1,1,0,NA,NA
"amp53","amp53","Cepská pískovna","Triturus cristatus",1,NA,1,1,NA,1,1,1,1,NA,NA
"amp59","amp59","Boječnice u Darmyšle","Triturus cristatus",1,NA,1,1,0,1,1,1,1,NA,NA
"amp63","amp63","Stod - areál Tondach","Triturus cristatus",1,NA,1,1,0,1,1,1,0,NA,NA
"amp70","amp70/aa","Stříbro - tůň SZ od zákopu 4","Triturus cristatus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"amp70","amp70/ab","Stříbro - tůň S od zákopu 4","Triturus cristatus",1,1,1,1,NA,1,1,1,0,NA,NA
"amp70","amp70/af","Stříbro - zákop 5","Triturus cristatus",1,1,1,1,0,1,1,1,0,0.5,0
"amp70","amp70/am","Stříbro - J cesta - tůň Z","Triturus cristatus",0,0,1,1,0,1,1,1,0,0,0
"amp70","amp70/an","Stříbro - J cesta - tůň 15 m V ","Triturus cristatus",0,0,1,1,0,1,1,1,0,0,0
"amp70","amp70/ap","Stříbro - J cesta - tůň 10 m Z od křižovatky","Triturus cristatus",0,0,1,1,NA,1,1,1,0,0,0
"amp70","amp70/ar","Stříbro - J cesta - tůň křižovatka","Triturus cristatus",1,1,1,1,0,1,1,1,1,0.5,0
"amp70","amp70/as","Stříbro - J cesta - tůň J od křižovatky půlená","Triturus cristatus",1,1,1,1,NA,1,1,1,NA,NA,NA
"amp70","amp70/at","Stříbro - J cesta - tůň V od půlené","Triturus cristatus",1,NA,1,1,NA,1,1,1,1,NA,NA
"amp70","amp70/av","Stříbro - Z cesta - velká tůň J ","Triturus cristatus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"amp70","amp70/ax","Stříbro - Z cesta - velká tůň střed","Triturus cristatus",1,0,1,1,0,1,1,1,0,0.5,0
"amp70","amp70/ay","Stříbro - Z cesta - velká tůň S","Triturus cristatus",0,0,1,1,0,1,1,1,0,0,0
"amp70","amp70/az","Stříbro - S cesta - tůň na Z křižovatce","Triturus cristatus",1,NA,1,1,0,1,1,1,1,NA,NA
"amp70","amp70/ba","Stříbro - S cesta - 1. tůň Z od Z křižovatky","Triturus cristatus",1,1,1,1,0,1,1,1,0,0.5,0
"amp70","amp70/bb","Stříbro - S cesta - 2. tůň Z od Z křižovatky","Triturus cristatus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"amp70","amp70/bg","Stříbro - S cesta - V křižovatka - S","Triturus cristatus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"amp70","amp70/bl","Stříbro - S cesta - tůň V od V křižovatky - velká ","Triturus cristatus",0,0,1,1,NA,1,1,1,1,0,0
"amp70","amp70/bp","Stříbro - V cesta - tůň 20 m J od křižovatky na S","Triturus cristatus",1,NA,1,1,NA,1,1,1,0,NA,NA
"amp70","amp70/bq","Stříbro - V cesta - tůň 30 m J od křižovatky na S velká","Triturus cristatus",1,1,1,1,0,1,1,1,1,0.5,0
"amp70","amp70/br","Stříbro - V cesta - tůň 45 m J od křižovatky na S velká","Triturus cristatus",1,NA,1,1,0,1,1,1,1,NA,NA
"amp70","amp70/bw","Stříbro - u borovice - sever","Triturus cristatus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"amp70","amp70/bx","Stříbro - u borovice - jih","Triturus cristatus",0,0,1,1,0,1,1,1,0,0,0
"amp70","amp70/by","Stříbro - S cesta - tůň na JV od V křižovatky","Triturus cristatus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"amp70","amp70/ca","Stříbro - tůně na JV - 5","Triturus cristatus",1,0,1,1,0,1,1,1,0,0.5,0
"amp70","amp70/d","Stříbro - tůně na JV","Triturus cristatus",0,0,1,1,NA,1,1,1,0,0,0
"amp70","amp70/e","Stříbro - tůně na JV - 2","Triturus cristatus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"amp70","amp70/f","Stříbro - tůně na JV - 3","Triturus cristatus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"amp70","amp70/g","Stříbro - tůně na JV - 4","Triturus cristatus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"amp70","amp70/y","Stříbro - zákop 3","Triturus cristatus",1,1,1,1,0,1,1,1,NA,NA,NA
"amp70","amp70/z","Stříbro - zákop 4","Triturus cristatus",1,0,1,1,0,1,1,1,0,0.5,0
"amp74","amp74","Horní Lukavice - koupaliště","Triturus cristatus",1,NA,1,1,NA,1,0,1,NA,NA,NA
"amp80","amp80","Týniště","Triturus cristatus",0,0,1,1,0,1,1,1,0,0,0
"amp90","amp90","Lesní rybník v Poříčském lese","Triturus cristatus",1,NA,1,1,1,1,1,1,0,NA,NA
"amp99","amp99","Rybník Tišina","Triturus cristatus",1,1,1,1,0,1,1,1,0,0.5,0
"CZ0213790","CZ0213790","Javůrek","Triturus cristatus",1,NA,0,1,NA,1,0,1,NA,NA,NA
"CZ0213794","CZ0213794","Kerské rybníčky","Triturus cristatus",1,1,1,1,1,1,1,1,0,0.5,0
"CZ0214006","CZ0214006_1","EVL Milovice - Mladá","Triturus cristatus",1,NA,1,1,NA,1,1,1,0,NA,NA
"CZ0214006","CZ0214006_2","EVL Milovice - Mladá","Triturus cristatus",1,NA,1,1,0,1,1,1,0,NA,NA
"CZ0323144","CZ0323144","Boječnice u Darmyšle","Triturus cristatus",0,NA,1,1,0,1,1,1,0,0,0
"CZ0413174","CZ0413174","Borecké rybníky","Triturus cristatus",1,1,1,0,0,1,1,1,0,0.5,0
"CZ0413184","CZ0413184","Pískovna Erika","Triturus cristatus",1,1,1,1,1,1,1,1,1,1,1
"CZ0413193","CZ0413193","U sedmi rybníků","Triturus cristatus",1,1,1,1,0,1,1,1,1,0.5,0
"CZ0423006","CZ0423006","Nebeský rybníček v osadě Veselí","Triturus cristatus",1,NA,1,1,NA,1,1,1,NA,NA,NA
"CZ0423202","CZ0423202_1","EVL Březina - Vojenský rybník","Triturus cristatus",1,1,1,1,0,1,1,1,1,0.5,0
"CZ0423202","CZ0423202_2","EVL Březina - tůň","Triturus cristatus",0,0,1,1,0,1,1,1,1,0,0
"CZ0423202","CZ0423202_3","EVL Březina - rašeliniště","Triturus cristatus",1,1,1,1,0,1,1,1,1,0.5,0
"CZ0423216","CZ0423216_1","K088","Triturus cristatus",1,NA,0,1,1,1,1,1,1,NA,NA
"CZ0423216","CZ0423216_10","K275+K176","Triturus cristatus",1,NA,0,0,0,1,1,1,1,NA,NA
"CZ0423216","CZ0423216_2","K049","Triturus cristatus",1,NA,1,1,1,1,1,1,1,NA,NA
"CZ0423216","CZ0423216_3","K229","Triturus cristatus",1,NA,1,1,0,1,0,1,1,NA,NA
"CZ0423216","CZ0423216_4","K066","Triturus cristatus",1,NA,1,1,0,1,1,1,1,NA,NA
"CZ0423216","CZ0423216_5","K078","Triturus cristatus",1,NA,0,1,1,1,1,1,0,NA,NA
"CZ0423216","CZ0423216_6","K282+K162","Triturus cristatus",1,NA,1,1,0,1,1,1,0,NA,NA
"CZ0423216","CZ0423216_7","K296+K298","Triturus cristatus",1,NA,1,1,0,1,1,1,1,NA,NA
"CZ0423216","CZ0423216_8","K234","Triturus cristatus",1,NA,0,1,1,1,1,1,1,NA,NA
"CZ0423216","CZ0423216_9","K254","Triturus cristatus",1,NA,1,0,0,1,1,1,1,NA,NA
"CZ0513249","CZ0513249","Prácheň - Zicht","Triturus cristatus",1,1,1,1,0,1,1,1,1,0.5,0
"CZ0513249","CZ0513249_115","Polní domky - soustava","Triturus cristatus",1,NA,1,1,NA,1,1,1,NA,NA,NA
"CZ0533696","CZ0533696","Kochánovické rybníky a tůně","Triturus cristatus",1,1,1,0,1,1,1,1,0,0.5,0
"CZ0613319","CZ0613319","Ficků rybník","Triturus cristatus",1,1,1,1,0,1,1,1,0,0.5,0
"CZ0713383","CZ0713383","Ohrozim-Horka","Triturus cristatus",1,1,1,0,NA,1,1,1,NA,NA,NA
"CZ0813438","CZ0813438_1","Cihelna Kunín - hliniště, Nová tůň","Triturus cristatus",1,1,1,1,0,1,1,1,1,0.5,0
"CZ0813438","CZ0813438_2","Cihelna Kunín - hliniště, příkop","Triturus cristatus",1,NA,1,1,0,1,1,1,1,NA,NA
"CZ0813438","CZ0813438_303","Cihelna Kunín - pískovna, úzká","Triturus cristatus",0,NA,1,1,0,1,1,1,0,0,0
"CZ0813438","CZ0813438_304","Cihelna Kunín - Hliniště, Štěpánova tůň","Triturus cristatus",0,NA,1,1,1,1,1,1,1,0,0
"CZ0813438","CZ0813438_305","Cihelna Kunín - hliniště, Lenčina tůň","Triturus cristatus",1,NA,1,1,1,1,1,1,1,NA,NA
"CZ0813438","CZ0813438_306","Cihelna Kunín - pískovna, kulatá","Triturus cristatus",0,NA,1,1,0,1,1,1,1,0,0
"amp182","amp182","Kaolínka Únanov","Triturus carnifex",0,0,1,1,NA,1,1,1,0,0,0
"amp183","amp183","mašovice","Triturus carnifex",1,1,1,1,0,1,1,1,1,0.5,0
"amp184","amp184","Podmolí strouha","Triturus carnifex",0,1,1,1,NA,1,1,1,0,0,0
"amp185","amp185","Citonice","Triturus carnifex",1,0,1,1,NA,1,1,1,NA,NA,NA
"amp186","amp186","Tasovice lom","Triturus carnifex",1,1,1,0,1,1,1,1,0,0.5,0
"amp190","amp190","žerůtky","Triturus carnifex",1,0,1,1,NA,1,1,1,0,NA,NA
"amp191","amp191","Hostim","Triturus carnifex",1,0,1,1,NA,1,1,1,1,NA,NA
"amp192","amp192","olbramkostel","Triturus carnifex",1,1,1,1,0,1,1,1,1,0.5,0
"amp193","amp193","Čížovský lesní rybník","Triturus carnifex",1,0,1,1,NA,1,1,1,1,NA,NA
"amp194","amp194","Popice - tůň nad popickou kaplí","Triturus carnifex",1,NA,1,1,0,1,1,1,0,NA,NA
"amp70","amp70/z","Stříbro - zákop 4","Triturus carnifex",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CZ0623345","CZ0623345","Citonice - rybník Skalka","Triturus carnifex",1,NA,1,1,NA,1,1,1,NA,NA,NA
"amp200","amp200","tune pod Cernym jezerem","Lissotriton montandoni",0,1,1,1,NA,1,1,1,NA,0,0
"amp206","amp206","Filipovické louky","Lissotriton montandoni",0,1,1,1,NA,1,1,1,NA,0,0
"amp212","amp212","Cerne jezero","Lissotriton montandoni",0,1,1,1,NA,1,1,1,NA,0,0
"amp213","amp213","Rejvíz","Lissotriton montandoni",1,NA,1,1,NA,1,1,1,NA,NA,NA
"amp219","amp219","Dušná u červených","Lissotriton montandoni",1,1,1,1,0,1,1,1,1,0.5,0
"amp220","amp220","Tůně Babská","Lissotriton montandoni",1,1,1,1,0,1,1,1,1,0.5,0
"amp222","amp222","Slovačica","Lissotriton montandoni",1,1,1,1,1,1,1,1,1,1,1
"amp225","amp225","Tůň u Kamenného domku","Lissotriton montandoni",0,1,1,1,0,1,1,1,0,0,0
"amp226","amp226","Požární nádrž na Tesáku","Lissotriton montandoni",1,1,1,1,0,1,1,1,1,0.5,0
"amp231","amp231","Tůně pod Horalem (na celnici)","Lissotriton montandoni",0,NA,1,1,NA,1,1,1,0,0,0
"amp233","amp233","Ptáčnice - u jezera","Lissotriton montandoni",1,1,1,1,0,1,1,1,1,0.5,0
"amp235","amp235","Mořské oko","Lissotriton montandoni",1,0,1,1,1,1,1,1,1,0.5,0
"amp237","amp237","Vidly - Stredni Opava","Lissotriton montandoni",0,0,1,1,NA,1,1,1,0,0,0
"amp238","amp238","Karlova Studanka - pozarni nadrz","Lissotriton montandoni",1,1,1,1,NA,1,1,1,NA,NA,NA
"amp239","amp239","Karlova Studanka - expozice","Lissotriton montandoni",0,1,1,1,NA,1,1,1,NA,0,0
"amp242","amp242","Muroňka","Lissotriton montandoni",1,1,0,0,1,1,1,1,1,0.5,0
"amp243","amp243","Obidová","Lissotriton montandoni",1,1,0,1,1,1,1,1,0,0.5,0
"amp255","amp255","Hermanovice - rybnicek nad krizovatkou","Lissotriton montandoni",0,0,1,1,1,1,1,1,1,0,0
"amp256","amp256","Nová Ves","Lissotriton montandoni",0,1,1,1,NA,1,1,1,NA,0,0
"amp260","amp260","Velký Kyčmol v Horní Lomné","Lissotriton montandoni",1,1,0,1,1,1,1,1,0,0.5,0
"amp265","amp265","Kozubová","Lissotriton montandoni",0,0,1,0,1,1,0,1,0,0,0
"amp267","amp267","Hermanovice - koupaliste","Lissotriton montandoni",0,0,1,1,NA,1,1,1,0,0,0
"amp269","amp269","Vidly - nekorancova trasa","Lissotriton montandoni",0,0,1,1,NA,1,1,1,0,0,0
"amp307","amp307","EVL Hermanovice - podlouhla","Lissotriton montandoni",0,1,1,1,NA,1,1,1,NA,0,0
"amp308","amp308","EVL Hermanovice - Gapcikovo","Lissotriton montandoni",0,1,1,1,NA,1,1,1,0,0,0
"amp309","amp309","EVL Hermanovice - zahnuta","Lissotriton montandoni",1,1,1,1,NA,1,1,1,0,NA,NA
"amp310","amp310","EVL Hermanovice - u brizy","Lissotriton montandoni",0,1,1,1,1,1,1,1,NA,0,0
"amp311","amp311","EVL Hermanovice - za plotem","Lissotriton montandoni",0,1,1,1,NA,1,1,1,NA,0,0
"CZ0713397","CZ0713397","Černé jezero, k.ú. Zlaté Hory","Lissotriton montandoni",1,1,1,1,NA,1,1,1,0,NA,NA
"CZ0724089","CZ0724089_1","Ptáčnice - u jezera","Lissotriton montandoni",1,NA,1,1,0,1,1,1,NA,NA,NA
"CZ0724089","CZ0724089_10","Armaturka","Lissotriton montandoni",1,NA,1,1,NA,1,1,1,0,NA,NA
"CZ0724089","CZ0724089_11","Max klaus","Lissotriton montandoni",0,NA,1,1,NA,1,1,1,0,0,0
"CZ0724089","CZ0724089_12","","Lissotriton montandoni",0,0,0,1,0,1,1,1,0,0,0
"CZ0724089","CZ0724089_13","","Lissotriton montandoni",0,0,1,1,NA,1,1,1,NA,0,0
"CZ0724089","CZ0724089_14","Vendryně","Lissotriton montandoni",1,1,1,1,1,1,1,1,0,0.5,0
"CZ0724089","CZ0724089_15","Řečice","Lissotriton montandoni",0,NA,1,1,1,1,1,1,0,0,0
"CZ0724089","CZ0724089_16","","Lissotriton montandoni",1,1,1,1,0,1,1,1,0,0.5,0
"CZ0724089","CZ0724089_17","Malý Polom","Lissotriton montandoni",1,NA,1,1,0,1,1,1,0,NA,NA
"CZ0724089","CZ0724089_18","Smutné údolí","Lissotriton montandoni",1,NA,1,1,NA,1,1,1,1,NA,NA
"CZ0724089","CZ0724089_2","Muroňka","Lissotriton montandoni",1,NA,1,0,0,1,1,1,1,NA,NA
"CZ0724089","CZ0724089_20","Pod Juráškou","Lissotriton montandoni",0,0,1,1,NA,1,1,1,1,0,0
"CZ0724089","CZ0724089_3","Obidová","Lissotriton montandoni",0,NA,0,1,1,1,1,1,0,0,0
"CZ0724089","CZ0724089_4","Kozubová","Lissotriton montandoni",0,NA,1,0,NA,1,1,1,0,0,0
"CZ0724089","CZ0724089_6","Mořské oko","Lissotriton montandoni",1,NA,1,1,1,1,1,1,1,NA,NA
"CZ0724089","CZ0724089_7","Dušná u červených","Lissotriton montandoni",1,NA,1,1,0,1,1,1,1,NA,NA
"CZ0724089","CZ0724089_8","Tůně Babská","Lissotriton montandoni",1,NA,1,1,0,1,1,1,0,NA,NA
